순위,관광지ID,관심지점명,구분,연령대,비율
1,3f73bffa7c6d98063eebe1ecd3305da6,에버랜드,레저/스포츠,전체,20.2
2,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,전체,16.8
3,276874ccf43c6c5c48e4cfaf7841a223,킨텍스제2전시장,문화생활시설,전체,9.6
4,f4cb0345c02d72995cc67111ef093ead,롯데월드잠실점,레저/스포츠,전체,8.5
5,e871c31f2d8767492bd2063733a23ec3,킨텍스제1전시장,문화생활시설,전체,8.2
6,94b37da181384604e8bdf68b3217008e,여의도한강공원,관광명소,전체,7.8
7,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,전체,7.4
8,817c4a3902258090a27aca081b01743f,속초해변,관광명소,전체,7.4
9,d6e7d2e0ef86a25cce60aac5332b28dc,국립중앙박물관,문화생활시설,전체,7.3
10,ede5898c7b76ed7fbd8ec451ec4dbf83,서울대공원,레저/스포츠,전체,6.9
