순위,관광지ID,관심지점명,구분,연령대,비율
1,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,40,21.7
2,f4cb0345c02d72995cc67111ef093ead,롯데월드잠실점,레저/스포츠,40,15.3
3,d6e7d2e0ef86a25cce60aac5332b28dc,국립중앙박물관,문화생활시설,40,13.0
4,6a4932d3f2787d25a04b758ba68e9db2,어린이대공원,레저/스포츠,40,10.8
5,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,40,10.2
6,94b37da181384604e8bdf68b3217008e,여의도한강공원,관광명소,40,7.1
7,b9dc3865498d79141065bc74ea791de7,CGV용산아이파크몰,문화생활시설,40,6.5
8,97c0a1427be208a8ca50e879baa895c4,올림픽공원,관광명소,40,6.2
9,48d711bc1a903d95d891501dd96cdf06,경복궁,관광명소,40,4.6
10,ac50c8b01e74f605a64ac86543f58c2a,헌릉과인릉,관광명소,40,4.5
