순위,관광지ID,관심지점명,구분,연령대,비율
1,9cd3bb3b5051afdc13d5e97a4312b2ff,함덕해수욕장,관광명소,40,15.6
2,a8ff823cf89c9c45007192b4dc3a4ea0,성산일출봉,관광명소,40,15.0
3,0c052befbc54513e9034242671758eb3,협재해수욕장,관광명소,40,13.1
4,c714c5df16485fdbd71eb5a2335dfa6b,아쿠아플라넷제주,관광명소,40,10.3
5,a5c26c106e8cd6df2d4d4d48eb7a8a08,이호테우해변,관광명소,40,9.4
6,b47ff4144d0958e11e1bf3c52b19afd5,오설록티뮤지엄,문화생활시설,40,9.4
7,d8d855c465198499868fb2b566ebee8d,김녕해수욕장,관광명소,40,7.5
8,116fa57968741ee16ae1dddc57eeb3cf,곽지해수욕장,관광명소,40,7.4
9,bf36be3e4e0e38f77f7521451f12798b,금능해수욕장,관광명소,40,6.5
10,b3b55010317bb4250ab9459330043133,비자림,관광명소,40,5.8
