순위,관광지ID,관심지점명,구분,연령대,비율
1,a8ff823cf89c9c45007192b4dc3a4ea0,성산일출봉,관광명소,60,17.4
2,9cd3bb3b5051afdc13d5e97a4312b2ff,함덕해수욕장,관광명소,60,16.1
3,c26b46644f90fb9238379021842455b7,한라산둘레길사려니숲길,여행/레저기타,60,11.1
4,b3b55010317bb4250ab9459330043133,비자림,관광명소,60,9.9
5,0c052befbc54513e9034242671758eb3,협재해수욕장,관광명소,60,9.1
6,eeb1011996bd12e3d160e3aaa51fe11c,산방산탄산온천,관광명소,60,8.6
7,a5c26c106e8cd6df2d4d4d48eb7a8a08,이호테우해변,관광명소,60,7.6
8,b47ff4144d0958e11e1bf3c52b19afd5,오설록티뮤지엄,문화생활시설,60,7.3
9,e1e638203626ebcb6a67bad0ef662332,제주항제6부두,교통시설,60,6.5
10,00fb3e16f7d8c51b5085af49bb68cce3,제주절물자연휴양림,관광명소,60,6.4
