순위,관광지ID,관심지점명,구분,연령대,비율
1,9cd3bb3b5051afdc13d5e97a4312b2ff,함덕해수욕장,관광명소,전체,15.9
2,a8ff823cf89c9c45007192b4dc3a4ea0,성산일출봉,관광명소,전체,14.9
3,0c052befbc54513e9034242671758eb3,협재해수욕장,관광명소,전체,12.9
4,b47ff4144d0958e11e1bf3c52b19afd5,오설록티뮤지엄,문화생활시설,전체,10.4
5,a5c26c106e8cd6df2d4d4d48eb7a8a08,이호테우해변,관광명소,전체,10.3
6,c714c5df16485fdbd71eb5a2335dfa6b,아쿠아플라넷제주,관광명소,전체,8.4
7,d8d855c465198499868fb2b566ebee8d,김녕해수욕장,관광명소,전체,7.4
8,116fa57968741ee16ae1dddc57eeb3cf,곽지해수욕장,관광명소,전체,7.3
9,c26b46644f90fb9238379021842455b7,한라산둘레길사려니숲길,여행/레저기타,전체,6.4
10,b3b55010317bb4250ab9459330043133,비자림,관광명소,전체,6.2
