순위,관광지ID,관심지점명,구분,연령대,비율
1,817c4a3902258090a27aca081b01743f,속초해변,관광명소,30,22.0
2,241a42aa4e1d329ae60189e9679e2866,안목해변,관광명소,30,11.4
3,1597d21403f63da1bb0539592597a525,경포해변,관광명소,30,10.4
4,01dffbc242ba6dd5672bde92ac2b93b4,휘닉스평창,레저/스포츠,30,10.1
5,8cce89feb1f76fc7cb1078812e964a94,낙산사,종교,30,9.8
6,6f86adae03cf1c59fd5964461f603f73,비발디파크 오션월드,레저/스포츠,30,9.4
7,c9be92f2483770779b3c963fe8946c29,레고랜드코리아리조트,레저/스포츠,30,7.5
8,698c84134b9f885351a4acc4bc5944f0,강문해변,관광명소,30,7.2
9,db3196a2f87095a9167e0e78a64eb146,대포항,교통시설,30,6.8
10,1ce64a45ad6f0d24fa466338dd5bf65f,낙산해수욕장,관광명소,30,5.4
