순위,관광지ID,관심지점명,구분,연령대,비율
1,6d162daa5d414b4c04f4dfd53017c652,강원랜드카지노,레저/스포츠,60,13.8
2,3abbc4295f8f464f3e4527cbd7254c53,주문진항,교통시설,60,13.5
3,8cce89feb1f76fc7cb1078812e964a94,낙산사,종교,60,12.2
4,776e7e89353e146a00645ecb2456c971,월정사,종교,60,11.1
5,1597d21403f63da1bb0539592597a525,경포해변,관광명소,60,9.9
6,817c4a3902258090a27aca081b01743f,속초해변,관광명소,60,9.8
7,db3196a2f87095a9167e0e78a64eb146,대포항,교통시설,60,7.9
8,378967397a2263528db8eea0b1259e60,고석정국민관광지,관광명소,60,7.6
9,0b37553854f416b46ded92602ff89444,오크밸리CC,레저/스포츠,60,7.2
10,08710d1cd5ab77ba863bcfb3dfc80891,백담사,종교,60,6.9
