순위,관광지ID,관심지점명,구분,연령대,비율
1,817c4a3902258090a27aca081b01743f,속초해변,관광명소,전체,18.7
2,8cce89feb1f76fc7cb1078812e964a94,낙산사,종교,전체,11.9
3,1597d21403f63da1bb0539592597a525,경포해변,관광명소,전체,11.0
4,6d162daa5d414b4c04f4dfd53017c652,강원랜드카지노,레저/스포츠,전체,10.3
5,6f86adae03cf1c59fd5964461f603f73,비발디파크 오션월드,레저/스포츠,전체,9.2
6,241a42aa4e1d329ae60189e9679e2866,안목해변,관광명소,전체,9.2
7,01dffbc242ba6dd5672bde92ac2b93b4,휘닉스평창,레저/스포츠,전체,9.1
8,db3196a2f87095a9167e0e78a64eb146,대포항,교통시설,전체,7.3
9,3abbc4295f8f464f3e4527cbd7254c53,주문진항,교통시설,전체,6.9
10,1ce64a45ad6f0d24fa466338dd5bf65f,낙산해수욕장,관광명소,전체,6.3
