순위,관광지ID,관심지점명,구분,연령대,비율
1,2eecebd9a6a14ee0490f4528eb22150a,우리들공원,관광명소,20,25.4
2,031f529330fca0ca10f5c7f1e48d826f,대전한화생명볼파크,레저/스포츠,20,18.9
3,c068465a71b611ca43be96ba9dea0fee,한밭수목원,레저/스포츠,20,15.1
4,02b67513f3826ebfa9d16b0f4dc8e011,해돋이전망대,관광명소,20,7.7
5,10e288b4360eb8cd6b93e6a1e2d0e7db,대전파이터즈파크,레저/스포츠,20,7.0
6,59eef9b8de992510c3059dd720403c7b,대전오월드,레저/스포츠,20,6.0
7,4d5407844b1e753a788247fbe3a11e36,대전컨벤션센터제2전시장,문화생활시설,20,5.4
8,2eb30d2ddf66494c4a854b8854219367,CGV대전탄방,문화생활시설,20,5.0
9,25cb65969d572b447f1979010e032f80,대전컨벤션센터제1전시장,문화생활시설,20,4.8
10,3684819fb7e572327a9b59be1c66d5af,롯데시네마대전센트럴,문화생활시설,20,4.7
