순위,관광지ID,관심지점명,구분,연령대,비율
1,950460b21a449f00e2d26567470e8235,장태산자연휴양림,관광명소,60,23.3
2,c068465a71b611ca43be96ba9dea0fee,한밭수목원,레저/스포츠,60,13.3
3,d611fce1351fe4cae868389f14d9efdd,계족산황톳길,여행/레저기타,60,11.0
4,d42eac0a9c0ae6135d5b77a519903c21,대전월드컵경기장,레저/스포츠,60,9.5
5,e3b8d38e9d4981563c9a47bc8102e4dc,뿌리공원,관광명소,60,8.8
6,25cb65969d572b447f1979010e032f80,대전컨벤션센터제1전시장,문화생활시설,60,7.4
7,6b6ea3a68bd2a903eaf6f12235a6ae77,장동산림욕장,레저/스포츠,60,7.2
8,91db88bb0141652f898bb4148f11d646,만인산자연휴양림,관광명소,60,6.8
9,4d5407844b1e753a788247fbe3a11e36,대전컨벤션센터제2전시장,문화생활시설,60,6.8
10,4dc759e662b3a1942b2782b65a85d4dd,자운대체력단련장,레저/스포츠,60,5.9
