순위,관광지ID,관심지점명,구분,연령대,비율
1,2eecebd9a6a14ee0490f4528eb22150a,우리들공원,관광명소,전체,13.8
2,031f529330fca0ca10f5c7f1e48d826f,대전한화생명볼파크,레저/스포츠,전체,13.3
3,59eef9b8de992510c3059dd720403c7b,대전오월드,레저/스포츠,전체,12.0
4,c068465a71b611ca43be96ba9dea0fee,한밭수목원,레저/스포츠,전체,11.4
5,ca5433380e5c5f27453b9a3fbb64f5d8,국립중앙과학관,문화생활시설,전체,10.1
6,950460b21a449f00e2d26567470e8235,장태산자연휴양림,관광명소,전체,9.4
7,25cb65969d572b447f1979010e032f80,대전컨벤션센터제1전시장,문화생활시설,전체,7.7
8,d42eac0a9c0ae6135d5b77a519903c21,대전월드컵경기장,레저/스포츠,전체,7.7
9,10e288b4360eb8cd6b93e6a1e2d0e7db,대전파이터즈파크,레저/스포츠,전체,7.6
10,4d5407844b1e753a788247fbe3a11e36,대전컨벤션센터제2전시장,문화생활시설,전체,7.2
