순위,관광지ID,관심지점명,구분,연령대,비율
1,26128ba4320cb4a31dbb4a693a9f4f34,수성못,관광명소,20,22.7
2,1fb63ce314c393bab942cbaf8edbc8a0,대구삼성라이온즈파크,레저/스포츠,20,15.1
3,dca31ec05a023c837e713eebe846fa38,2.28기념중앙공원,관광명소,20,14.2
4,90c3bec277c6b1b7549b4991d3e06d1c,스파크랜드,레저/스포츠,20,8.4
5,6b47f8efd4e12c41604aab9e37ef5d67,EXCO서관,문화생활시설,20,8.1
6,c02b1e8c39e84057c1a17d0eea9c8bba,동촌유원지,관광명소,20,7.4
7,8d5c1534eca00aa569427d762ff56d3f,이월드,레저/스포츠,20,7.2
8,61e0f9151da2cc26c47fbe2fe669ede9,두류공원,관광명소,20,6.9
9,9ece82a1e3a1c730673df7ed0eeb110c,동성로,놀거리,20,5.6
10,44180b678b67bd613ea248615f2f3df1,영남꽃집,농/어업,20,4.5
