순위,관광지ID,관심지점명,구분,연령대,비율
1,7f6b613b1103d61509e8623f5e91ca40,대구수목원,레저/스포츠,60,17.1
2,6b47f8efd4e12c41604aab9e37ef5d67,EXCO서관,문화생활시설,60,13.2
3,3448b9cbfdd9058894bc0adf507de4cf,옥연지송해공원,관광명소,60,12.6
4,e5120b90a52e39fd58666c30afa44f14,동화사,종교,60,12.4
5,d3010607c9fcf016168e6d4434dd0a41,EXCO동관,문화생활시설,60,8.4
6,26128ba4320cb4a31dbb4a693a9f4f34,수성못,관광명소,60,8.4
7,61e0f9151da2cc26c47fbe2fe669ede9,두류공원,관광명소,60,7.8
8,ab2ad28973026d96cd3ad167b817102d,대구간송미술관,문화생활시설,60,7.4
9,d3de88de3313df4fe8588646f8da93b7,화원유원지,관광명소,60,6.5
10,c02b1e8c39e84057c1a17d0eea9c8bba,동촌유원지,관광명소,60,6.1
