순위,관광지ID,관심지점명,구분,연령대,비율
1,6b47f8efd4e12c41604aab9e37ef5d67,EXCO서관,문화생활시설,전체,17.3
2,1fb63ce314c393bab942cbaf8edbc8a0,대구삼성라이온즈파크,레저/스포츠,전체,15.3
3,26128ba4320cb4a31dbb4a693a9f4f34,수성못,관광명소,전체,12.6
4,8d5c1534eca00aa569427d762ff56d3f,이월드,레저/스포츠,전체,12.5
5,ab2ad28973026d96cd3ad167b817102d,대구간송미술관,문화생활시설,전체,7.4
6,dca31ec05a023c837e713eebe846fa38,2.28기념중앙공원,관광명소,전체,7.3
7,7f6b613b1103d61509e8623f5e91ca40,대구수목원,레저/스포츠,전체,7.0
8,d3010607c9fcf016168e6d4434dd0a41,EXCO동관,문화생활시설,전체,7.0
9,c02b1e8c39e84057c1a17d0eea9c8bba,동촌유원지,관광명소,전체,7.0
10,3448b9cbfdd9058894bc0adf507de4cf,옥연지송해공원,관광명소,전체,6.6
