순위,관광지ID,관심지점명,구분,연령대,비율
1,94b37da181384604e8bdf68b3217008e,여의도한강공원,관광명소,20,26.4
2,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,20,13.4
3,eae638a0117eda42a27a586f77cc0cd3,반포한강공원,관광명소,20,13.1
4,b2e840beb2fcb66bb33d988c822656ad,뚝섬한강공원,관광명소,20,10.8
5,b9dc3865498d79141065bc74ea791de7,CGV용산아이파크몰,문화생활시설,20,7.4
6,9d58042af96868b01de11722f6a2975f,망원한강공원,관광명소,20,6.7
7,f4cb0345c02d72995cc67111ef093ead,롯데월드잠실점,레저/스포츠,20,6.0
8,4c259dd1d968533026e3c9a60cc4c34a,서울숲,관광명소,20,5.5
9,9dac72fa7ebfaa2eca0d9f9e4e8ddcff,팔각정북악스카이,관광명소,20,5.5
10,273e0e5b0ac26479b4d07c1f7be5b5a0,잠실야구장,레저/스포츠,20,5.2
