순위,관광지ID,관심지점명,구분,연령대,비율
1,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,60,22.2
2,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,60,15.1
3,d6e7d2e0ef86a25cce60aac5332b28dc,국립중앙박물관,문화생활시설,60,10.3
4,97c0a1427be208a8ca50e879baa895c4,올림픽공원,관광명소,60,9.7
5,f4cb0345c02d72995cc67111ef093ead,롯데월드잠실점,레저/스포츠,60,8.1
6,48d711bc1a903d95d891501dd96cdf06,경복궁,관광명소,60,7.3
7,6e83a36a9b7bd04680c637b8f44a99ab,봉은사,종교,60,7.3
8,6a4932d3f2787d25a04b758ba68e9db2,어린이대공원,레저/스포츠,60,7.0
9,8ba57fda99dae27f1df09914dc84eb37,서울월드컵경기장,레저/스포츠,60,6.9
10,4c259dd1d968533026e3c9a60cc4c34a,서울숲,관광명소,60,6.1
